Срочность	Артикул_ВБ	Название	Ср_продажи_мес	Годовой_спрос	Остаток_шт	Покрытие_мес	Заказ_шт	Себест_руб	Сумма_заказа_руб	ROI_%	Маржа_на_ед_руб
1_СРОЧНО	212753217	JIGOTT - Collagen Healing Cream [100ml]	31.3	519.0	7.0	0.2	512.0	175.42	89815.0	110.17	193.26
1_СРОЧНО	255574453	JIGOTT - MASK 15	16.0	265.0	4.0	0.2	261.0	334.05	87187.0	84.26	281.48
1_СРОЧНО	214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	14.0	232.0	2.0	0.1	230.0	367.89	84615.0	125.31	460.99
1_СРОЧНО	180711041	Petitfee EGF	11.0	182.0	0.0	0.0	182.0	385.05	70079.0	43.53	167.6
1_СРОЧНО	154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	49.7	822.0	84.0	1.7	738.0	92.17	68021.0	63.56	58.59
1_СРОЧНО	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	44.0	729.0	64.0	1.5	665.0	96.94	64465.0	141.68	137.35
1_СРОЧНО	551616449	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml]	6.0	99.0	0.0	0.0	99.0	634.34	62800.0	79.29	502.96
1_СРОЧНО	207817787	ISNTREE - Chestnut AHA 8% Clear Essence [100ml]	4.5	75.0	6.0	1.3	69.0	540.42	37289.0	-45.39	-245.3
1_СРОЧНО	210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	21.0	348.0	17.0	0.8	331.0	108.15	35798.0	36.64	39.63
1_СРОЧНО	248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	3.7	61.0	0.0	0.0	61.0	549.71	33532.0	57.97	318.69
1_СРОЧНО	207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	19.3	320.0	18.0	0.9	302.0	108.15	32661.0	123.33	133.38
1_СРОЧНО	190160008	Elizavecca Milky Piggy EGF elastic retinol [100ml]	3.0	50.0	2.0	0.7	48.0	602.18	28905.0	-114.13	-687.29
1_СРОЧНО	236825103	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	4.7	77.0	1.0	0.2	76.0	367.85	27957.0	90.79	333.97
1_СРОЧНО	214312149	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	6.0	99.0	6.0	1.0	93.0	294.15	27356.0	66.46	195.48
1_СРОЧНО	207818000	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	14.7	243.0	2.0	0.1	241.0	99.08	23878.0	-106.36	-105.38
1_СРОЧНО	611744611	ENOUGH Collagen whitening cover tip concealer #02	7.7	127.0	0.0	0.0	127.0	183.24	23271.0	175.12	320.89
1_СРОЧНО	611745490	ENOUGH Collagen whitening cover tip concealer #03	1.5	25.0	0.0	0.0	25.0	183.24	4581.0	177.03	324.39
