Артикул_ВБ	Название	Штрафы_руб	Штраф_Габариты	Штраф_ПовышЛог	Другие_штрафы	Доплаты	Брак_шт	Брак_руб	Компенсация
338340351	MASIL_big_box2	0.00	0.00	0.00	0.00	0.00	0	0.00	1464.75
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	0.00	0.00	0.00	0.00	0.00	0	0.00	1443.51
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	256.40	0.00	0.00	256.40	0.00	0	0.00	1198.20
437203627	ROUND LAB BIRCH JUICE MOISTURIZING CLEANSER_150ml	3895.75	0.00	0.00	3895.75	0.00	0	0.00	0.00
437238521	ROUND LAB MUGWORT CALMING TONER_300ml	430.00	0.00	0.00	430.00	0.00	0	0.00	2459.28
437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	0.00	0.00	0.00	0.00	0.00	0	0.00	1165.79
437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	400.40	0.00	0.00	400.40	0.00	0	0.00	0.00
48905926	dm7dm1	7016.00	5976.00	0.00	1040.00	0.00	0	0.00	21502.55
48906308	dm7dm3	20.00	0.00	0.00	20.00	0.00	0	0.00	11314.89
48906952	dm7dm5	620.00	600.00	0.00	20.00	0.00	0	0.00	9310.23
48908708	dm7dm6	980.00	0.00	0.00	980.00	0.00	0	0.00	2672.59
535617707	dm7dm1	40.00	0.00	0.00	40.00	0.00	0	0.00	0.00
535622280	dm7dm3	10.00	0.00	0.00	10.00	0.00	0	0.00	670.79
535622287	dm7dm6	203302.20	0.00	0.00	203302.20	0.00	0	0.00	0.00
535622289	dm7dm9	1265.60	0.00	0.00	1265.60	0.00	0	0.00	484.07
535622291	dm7dm10	1369.00	0.00	0.00	1369.00	0.00	0	0.00	955.79
535622293	dm7dm11	60.00	0.00	0.00	60.00	0.00	0	0.00	3254.68
535622295	dm7dm12	40.00	0.00	0.00	40.00	0.00	0	0.00	0.00
535622301	dm7dm13	70.00	0.00	0.00	70.00	0.00	0	0.00	794.74
551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	1150.80	0.00	0.00	1150.80	0.00	0	0.00	0.00
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	10.00	0.00	0.00	10.00	0.00	0	0.00	0.00
551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	40.00	0.00	0.00	40.00	0.00	0	0.00	1355.06
551626041	CELIMAX DUAL BARRIER TRIAL KIT [20ml+10ml]	10.00	0.00	0.00	10.00	0.00	0	0.00	1022.85
555134309	dm7dm11-45	10.00	0.00	0.00	10.00	0.00	0	0.00	0.00
555135716	dm7dm11-50	70.00	0.00	0.00	70.00	0.00	0	0.00	1835.10
555151552	dm7dm11-65	9936.00	0.00	0.00	9936.00	0.00	0	0.00	0.00
555169767	dm7dm11-85	50.00	0.00	0.00	50.00	0.00	0	0.00	0.00
555204573	dm7dm3-45	399.50	0.00	0.00	399.50	0.00	0	0.00	0.00
555208894	dm7dm3-50	2745.60	0.00	0.00	2745.60	0.00	0	0.00	0.00
555213580	dm7dm5-50	20.00	0.00	0.00	20.00	0.00	0	0.00	1802.81
59729264	NAUSHNIK/DETY/ROSE/	0.00	0.00	0.00	0.00	0.00	0	0.00	527.08
59758723	NAUSHNIK/DETY/MENTOL/	150.00	0.00	0.00	150.00	0.00	0	0.00	2359.81
59758724	NAUSHNIK/DETY/SIREN/	400.50	340.50	0.00	60.00	0.00	0	0.00	0.00
608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	2501.10
663654300	videokamera4gneww	30.00	0.00	0.00	30.00	0.00	0	0.00	0.00
664171647	PETITFEE - MASK 6	30.00	0.00	0.00	30.00	0.00	0	0.00	1178.43
80222948		0.00	0.00	0.00	0.00	0.00	0	0.00	801.15
868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	10.00	0.00	0.00	10.00	0.00	0	0.00	3187.42
