Уровень	Артикул_ВБ_или_Регион	Название	Индекс_локализации_%	КТР	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_шт	Заказы_локально_%	Заказы_нелокально_%
	663654300	videokamera4gneww	videokamera4gneww	C	100	43				
	1119249556	VT PDRN Essence 100	VT PDRN Essence 100	C	100	13				
	1123494802	VT Reedle Shot	VT Reedle Shot	C	100	19				
	1123574113	Round Lab 1025 Dokdo Toner	Round Lab 1025 Dokdo Toner	C	100	18				
	1152680017	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER	C	100	78				
	1175175447	PETITFEE MASK 6	PETITFEE MASK 6	C	100	44				
	1177994944	PETITFEE MASK 5	PETITFEE MASK 5	C	100	50				
	1177994945	PETITFEE MASK 7	PETITFEE MASK 7	C	100	40				
	Южный и Северо-Кавказский					1891		3744	62.95	37.05
	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	ROUND LAB 1025 DOKDO CLEANSER_150ml	A	91			294	28.94	71.06
	868516027	Celimax Dual Barrier Creamy Toner	Celimax Dual Barrier Creamy Toner	A	90	10		456	45.74	54.26
	168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	A	96			326	79.71	20.29
	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	ENOUGH - Collagen Moisture Essential Cream [50ml] N	A	96	203		213	99.07	0.93
	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	A	91			181	90.50	9.50
	207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	A	94			185	93.43	6.57
	151313163	Etude Baking Powder Crunch Pore Scrub	Etude Baking Powder Crunch Pore Scrub	A	95			152	92.68	7.32
	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	A	95			97	59.15	40.85
	150925321	Collagen_Enough_Moisture_Foundation_13	Collagen_Enough_Moisture_Foundation_13	A	95	177		140	100	
	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	A	97			5	4.17	95.83
	207482718	JIGOTT - Snail Lifting Cream [70ml]	JIGOTT - Snail Lifting Cream [70ml]	A	96	11		118	100	
	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	ROUND LAB MUGWORT CALMING CLEANSER_150ml	A	89			75	76.53	23.47
	169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	A	97			39	40.63	59.38
	207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	FARMSTAY - Gold Snail Premium Cream [50ml]	A	95			67	77.01	22.99
	207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	A	98	9		76	100	
	207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	A	97			28	39.44	60.56
	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	A	92	1		45	63.38	36.62
	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	A	91			35	53.03	46.97
	198156472	Manyo_Galac_Vita_Serum	Manyo_Galac_Vita_Serum	A	90			35	55.56	44.44
	207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	HEIMISH - Artless Glow Base SPF50+ [40ml]	B	91			41	73.21	26.79
	170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	Enough Rich Gold Double Wea Radiance Foundation 21 тон	B	96			23	47.92	52.08
	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	Enough Collagen Whitening Moisture Cream 3in1 50 N	B	98			30	62.50	37.50
