Артикул_ВБ	Название	Остаток_шт	Выкуп_ФинОтчет_%	Выкуп_API_%	Выкуп_ЛК_%	Выкуп_АВТО_%	Возврат_ФинОтчет_%	Возврат_API_%	Возврат_АВТО_%	Продаж_ФинОтчет	Возвратов_ФинОтчет	Заказов_API	Продаж_API
167174174	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл		100	100	100	100							
168956730	3SALON HAIR CMC SHAMPOO 300ml		100	100	100	100							
168956857	10 PREMIUM REPAIR HAIR MASK		100	100	100	100							
169074006	9 Protein Perfume Silk Balm		100	100	100	100							
169788725	ENOUGH Collagen Hydro Moisture Two Way Cake SPF 25 тон 13		100	100	100	100							
169788801	ENOUGH Collagen Hydro Moisture Two Way Cake SPF 25 тон 21		89.47	100	100	89.47							
174667745	Массажер для шеи спиный и тела		100	100	100	100							
174667991	Коврик электрический для ног V1		100	100	100	100							
176945700	sBotW400		80.23	100	100	80.23	5.80	9.09	5.80				
179423815	Массажер подушка коричневая v1		85.09	100	100	85.09	0.29		0.29				
179423817	Массажер подшука черная v1		78.95	100	100	78.95							
179611266	Koelf Ruby & Bulgarian Rose Eye Patch		100	100	100	100							
179611284	Koelf Pearl & Shea Butter Hydrogel Eye Patch		95.58	100	100	95.58							
179631938	KN/gray		100	100	100	100							
179631943	KN/cyan		100	100	100	100							
180588500	Enough Collagen 3in1 Cream 50мл		100	100	100	100							
180596737	TIAM Vita B3 Source		100	100	100	100							
180709801	Koelf Royal Jelly		93.60	100	100	93.60							
180852722	Коврик массажный фиолетовый v1		100	100	100	100							
182111724	Триммер Золотой		100	100	100	100							
182250504	Колонка большая V1		100	100	100	100							
182250538	Колонка маленькая V1		100	100	100	100							
182558648	KN95/white/без клапана		88.33	100	100	88.33							
182994855	Liquid10		100	100	100	100							
182996309	Liquid5		100	100	100	100							
183001649	Liquid20		100	100	100	100							
183028820	Liquid200		96.97	100	100	96.97							
183042837	SuperMild5		88.57	100	100	88.57							
183070489	SuperMild20		100	100	100	100							
183127934	SuperMild10		100	100	100	100							
183127988	SuperMild200		100	100	100	100							
188817228	Masil3•8•9 - Repair Perfect Set - Christmas Edition / ver.3		100	100	100	100							
188818000	Masil3•8•9 - Repair Perfect Set - Christmas Edition / ver.2		100	100	100	100							
188818289	Masil3•8•9 - Repair Perfect Set - Christmas Edition / ver.1		100	100	100	100							
188822937	Masil3•8 - Salon Stick Set - Christmas Edition / ver.1		100	100	100	100							
188823064	Masil3•8 - Salon Stick Set - Christmas Edition / ver.2		100	100	100	100							
188825489	Бахрома - 20м - желтого цвета		84.63	100	100	84.63	0.51		0.51				
188826237	Бахрома - 25м - желтого цвета		100	100	100	100							
190158093	MASIL 5SALON NO YELLOW SHAMPOO 300ml		99.40	100	100	99.40							
190158094	MASIL 5 PROBIOTICS PERFECT VOLUME SHAMPOO 300ml		100	100	100	100							
190158095	MASIL 5 PROBIOTICS APPLE VINEGAR SHAMPOO 300ml		99.46	100	100	99.46							
190158096	MASIL 5 PROBIOTICS COLOR RADIANCE SHAMPOO 300ml		98.97	100	100	98.97							
190158097	MASIL 5 PROBIOTICS SCALP SCALING SHAMPOO 300ml		98.65	100	100	98.65							
190160197	EKEL Ampoule Toner Collagen 150ml		83.76	100	99.66	83.76							
190314011	СГ-Белая		80.75	100	100	80.75	0.85		0.85				
190314124	СГ-Белая с узорами		79.14	100	100	79.14	1.16	11.11	1.16				
190314522	СГ-Синяя		72.50	100	100	72.50	2.25		2.25				
191033857	MASIL 9PROTEIN PERFUME SILK BALM 20ml		96.86	100	100	96.86							
193043668	Гирлянда здездочка		76.27	100	100	76.27	2.22		2.22				
195286357	Rosa 2m white		77.61	100	100	77.61							
195286358	Rosa 2m hot		100	100	100	100							
195286360	Rosa 2m multi		100	100	100	100							
195286361	Rosa 3m white		80.60	100	100	80.60	3.17		3.17				
195286362	Rosa 3m hot		81.65	100	100	81.65	2.99		2.99				
195286363	Rosa 3m multi		67.35	100	100	67.35	2.94		2.94				
195286364	Rosa 5m white		82.61	100	100	82.61							
195286365	Rosa 5m hot		68.24	100	100	68.24	1.69		1.69				
