Артикул_ВБ	Название	Остаток_шт	Объем_л	Цена_с_СПП	Себестоимость	Комиссия_ФБО_%	Выкуп_%	Реклама_на_ед	Хранение_на_ед	Объем_на_ед_л	Эквайринг_%	Себест_в_остатке	ДРР_%	Хранение_ВБ_остаток	Комиссия_остаток	Налог_остаток	НДС	ROI_API_%	Маржа_на_ед	Маржинальность_счет_%	Маржинальность_постав_%
1177994945	PETITFEE MASK 7	40	46.08	1538	688.60	32	100		3.45	1.15	2.44	89040		138	28492.80	4599.63	4024.67	83.54	575.26	40.52	25.84
179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	39	15.79	956	385.05	32.50	100		3.66	0.41	2.44	53196		142.74	17288.70	2787.59	2439.14	73.76	284.01	34.32	20.82
207483179	JIGOTT - Snail Reparing Cream [100ml]	39	17.47	460	185.86	32.50	96	77.02	3.06	0.45	2.44	28899		119.34	9392.18	1341.31	1173.64	32.11	59.67	13.84	8.05
151175877	Petitfee Agave Cooling Hydrogel Eye Mask	38	15.39	891	415.46	32.50	98		3.63	0.41	2.44	48336		137.94	15709.20	2531.44	2215.01	51.79	215.18	27.49	16.92
212720615	ISNTREE - Onion Newpair Gel Cream [50ml]	38	12.16	1777	1072.67	32.50	100	760.37	3	0.32	2.44	108756		114	35345.70	5048.67	4417.59	-21.45	-230.11	-12.49	-8.04
307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	38	27.36	769	292.89	32.50	92	136.38	2.94	0.72	2.44	42294		111.72	13745.55	2184.82	1911.72	50.17	146.95	22.42	13.20
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	37	5.18	1532	770.48	32.50	91	115.71	3	0.14	2.44	83250		111	27056.25	4238.06	3708.30	50.01	385.31	27.01	17.12
247275092	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	36	10.58	1652	845.49	32.50	100	1008.73	3.33	0.29	2.44	97308		119.88	31625.10	4446.50	3890.69	-40.90	-345.78	-19.92	-12.79
248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	36	17.28	1205	549.71	32.50	86		2.52	0.48	2.44	61056		90.72	19843.20	3243.36	2837.94	57.97	318.69	30.34	18.79
212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	33	14.78	2844	1449.78	32.50	100	1581.24	3.72	0.45	2.44	132924		122.76	43200.30	7016.97	6139.85	-52.13	-755.72	-28.83	-18.76
248929125	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	33	8.32	1843	1057.20	32.50	92	266.32	3.39	0.25	2.44	97944		111.87	31831.80	4547.21	3978.81	30.89	326.58	17.22	11
151132051	ENOUGH COLLAGEN 3IN1 13	31	7.44	634	238.13	32.50	90		3	0.24	2.44	30690		93	9974.25	1469.46	1285.78	87.46	208.26	36.39	21.04
