Артикул_ВБ	Название	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_%	Заказы_нелокально_%
1139267477	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads] 2	100	72		100	
1139196306	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] 2	100	71		100	
1139205173	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs] 2	100	60		100	
1139212638	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] 2	100	60		100	
1139217196	PETITFEE - Gold Hydrogel Mask Pack [5pcs] 2	100	60		100	
1139220114	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] 2	100	60		100	
1139241419	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] 2	100	60		100	
1139273633	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads] 2	100	60		100	
1139230773	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] 2	100	59		100	
1139281487	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml] 2	100	20		100	
535622289	dm7dm9		1		100	
