nm,Артикул продавца,Название,Предмет,Бренд,orders,local,nonlocal_orders,fbw_local,fbw_nonlocal,mp_local,mp_nonlocal,fbw_orders,local_pct_all,local_pct_fbw,krp_all,krp_fbw,weighted_krp_orders
208202076,EKEL Ampule Сream Сollagen [70ml],Увлажняющий крем для лица с коллагеном ампульный,Кремы,EKEL,85,44,41,44,41,0,0,85,51.76470588235295,51.76470588235295,0.0205,0.0205,1.7425000000000002
151132051, ENOUGH COLLAGEN 3IN1 13,Отбеливающий тональный крем для лица 3в1 тон 13,Тональные кремы,ENOUGH,76,38,38,38,38,0,0,76,50.0,50.0,0.0205,0.0205,1.558
437845041,ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml,Крем для лица с ниацинамидом от чёрных точек Корея,Кремы,round lab,69,21,48,21,48,0,0,69,30.434782608695656,30.434782608695656,0.0215,0.0215,1.4834999999999998
206126372,I'm Sorry for My Skin Крем Age Capture Vitalizer,Крем для лица с витамином C осветляющий,Кремы,I'm Sorry for My Skin,69,38,31,38,31,0,0,69,55.072463768115945,55.072463768115945,0.02,0.02,1.3800000000000001
226114935,PETITFEE - Gold Hydrogel Mask Pack [5pcs],Маски для лица с золотом,Маски гидрогелевые,Petitfee,59,21,38,21,38,0,0,59,35.59322033898305,35.59322033898305,0.021,0.021,1.239
165002270,ENOUGH collagen moisture BB Cream SPF47 PA+++ BB,BB крем тональный солнцезащитный с коллагеном,Кремы,ENOUGH,52,11,41,11,41,0,0,52,21.153846153846153,21.153846153846153,0.0225,0.0225,1.17
205054338,manyo_bifida_biome_toner,Укрепляющий тоник для лица с бифидобактериями,Тоники,manyo,44,7,37,7,37,0,0,44,15.909090909090908,15.909090909090908,0.023,0.023,1.012
210579932,LEBELAGE - Dr. Snail Derma Eye Cream [40ml],Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,46,27,19,27,19,0,0,46,58.69565217391305,58.69565217391305,0.02,0.02,0.92
207481251,COSRX Advanced Snail 96 Mucin Power Essence [100ml],Корейская эссенция для лица увлажняющая,Сыворотки,COSRX,44,24,20,24,20,0,0,44,54.54545454545454,54.54545454545454,0.0205,0.0205,0.902
204258828,COSRX_Salicylic_Acid_Cleanser,Пенка для умывания от прыщей,Скрабы,COSRX,43,22,21,22,21,0,0,43,51.162790697674424,51.162790697674424,0.0205,0.0205,0.8815000000000001
151132052, ENOUGH COLLAGEN 3IN1 21,Отбеливающий тональный крем для лица 3в1 тон 21,Тональные кремы,ENOUGH,42,22,20,22,20,0,0,42,52.38095238095239,52.38095238095239,0.0205,0.0205,0.861
212759698,JIGOTT - Moisture Real Aloe Vera Toner [300ml],Корейский успокаивающий тонер с алоэ,Тоники,Jigott,38,8,30,8,30,0,0,38,21.052631578947366,21.052631578947366,0.0225,0.0225,0.855
179611278,Petitfee Artichoke Soothing Hydrogel Eye Mask,Патчи под глаза гидрогелевые с артишоком,Патчи,Petitfee,36,9,27,9,27,0,0,36,25.0,25.0,0.022,0.022,0.7919999999999999
437797551,ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml,Сыворотка для лица c витамином С и ниацинамидом,Сыворотки,round lab,24,11,13,11,13,0,0,24,45.83333333333333,45.83333333333333,0.0205,0.0205,0.492
176945700,sBotW400,Квадратный робот мойщик квадратный с распылением,Роботы-стеклоочистители,SKL TECH,21,5,16,5,16,0,0,21,23.809523809523807,23.809523809523807,0.0225,0.0225,0.4725
210575566,LEBELAGE - Dr. Peptide Derma Eye Cream [40ml],Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,21,8,13,8,13,0,0,21,38.095238095238095,38.095238095238095,0.021,0.021,0.441
