Артикул WB,Артикул продавца,Название,Предмет,Бренд,Остаток_шт,Стоимость_остатка,Заказали_шт,Выкупили_шт,Оборачиваемость_текущих,Оборачиваемость_средних
611747838,Collagen_Enough_Moisture_Foundation_23,Увлажняющий тональный крем для лица тон 23,Тональные кремы,ENOUGH,112,108718,21,15,0.0,0.0
236825103,JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea],Трехшаговый набор тканевых масок для лица 10 шт.,Маски тканевые косметические,JMSolution,76,107861,6,4,0.0,0.0
207796439,ELIZAVECCA - Natural 90% Olive Cleansing Oil,Корейское гидрофильное масло для умывания,Гидрофильные масла,Elizavecca,68,105738,125,102,0.0,0.0
247275092,THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml],Кислотный тоник для лица от прыщей Glycolic Acid 7%,Тоники,The ordinary,39,105452,8,5,0.0,0.0
180711041,Petitfee EGF,Антивозрастные гидрогелевые патчи с золотом и EGF,Патчи,Petitfee,74,104338,10,7,0.0,0.0
214304883,DEOPROCE - SNAIL RECOVERY CREAM [100g],Корейский крем для лица антивозрастной,Кремы,DEOPROCE,50,103899,20,14,0.0,0.0
214964091,JMSOLUTION - Mask Pack Disney,Набор корейских тканевых масок для лица 10 шт,Маски тканевые косметические,JMSolution,84,95053,251,191,0.0,0.0
214312149,SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml],Увлажняющая ночная маска для сухой кожи,Кремы,SKIN1004,69,93608,5,2,0.0,0.0
214311963,SKIN1004 - Madagascar Centella Ampoule [30ml],Сыворотка Корея увлажняющая против морщин,Сыворотки,SKIN1004,46,90239,9,9,0.0,0.0
437850261,ROUND LAB SOYBEAN CLEANSING OIL_200ml,Гидрофильное масло для лица для умывания Корея,Гидрофильные масла,round lab,43,89474,20,12,0.0,0.0
226115141,PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица против морщин,Маски гидрогелевые,Petitfee,56,80957,78,63,0.0,0.0
551490295,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml],Сыворотка для лица осветляющая,Сыворотки,Celimax,121,75833,5,2,0.0,0.0
437242640,ROUND LAB MUGWORT CALMING CLEANSER_150ml,Очищающая пенка для умывания лица от прыщей и акне Корея,Пенки,round lab,49,73458,156,74,0.0,0.0
179611231,Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch,Гидрогелевые патчи для глаз Корея от отеков,Патчи,Petitfee,53,70661,46,32,0.0,0.0
180992464,PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal,Охлаждающие гидрогелевые патчи для области вокруг глаз,Патчи,Petitfee,38,67846,31,24,0.0,0.0
248928046,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g],Корейское мыло для лица от прыщей,Мыло косметическое,Some by mi,42,66151,3,1,0.0,0.0
608841921,DEOPROCE SHAMPOO - BLACK GARLIC[200ml],Шампунь для волос женский c черным чесноком,Шампуни,DEOPROCE,93,65641,45,37,0.0,0.0
214312385,THE ORDINARY - Argireline Solution 10% [30ml],Антивозрастная сыворотка для лица с аргирелином 10%,Сыворотки,The ordinary,37,64830,20,13,0.0,0.0
212889028,Enoughcollagenwhiteningcovertip03,Консилер для лица плотный 03 корректор,Корректоры,ENOUGH,69,63842,51,35,0.0,0.0
212889027,Enoughcollagenwhiteningcovertip,Консилер для лица плотный 02 корректор,Корректоры,ENOUGH,62,63559,95,59,0.0,0.0
214305722,DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml],Шампунь для волос женский и бальзам c черным чесноком набор,Шампуни,DEOPROCE,23,58683,105,83,0.0,0.0
174668134,Пистолет перкуссионный V1,Перкуссионный массажер для тела от целлюлита,Массажеры электрические,Перкуссионный массажер пистолет,63,50513,2,1,0.0,0.0
207796563,ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream,Крем для лица Aqua Hyaluronic Acid Water Drop,Кремы,Elizavecca,57,49640,173,140,0.0,0.0
151132051, ENOUGH COLLAGEN 3IN1 13,Отбеливающий тональный крем для лица 3в1 тон 13,Тональные кремы,ENOUGH,51,47304,76,56,0.0,0.0
868761530,LANEIGE LIP SLEEPING MASK-BERRY [3g],Бальзам маска для губ Lip Sleeping Mask Berry,Бальзамы,LANEIGE,75,46763,156,106,0.0,0.0
212889025,Enoughcollagenwhiteningcovertip01,"Консилер для лица плотный 01, корректор светлый",Корректоры,ENOUGH,45,46133,125,78,0.0,0.0
180711104,Petitfee GOLD,Гидрогелевые патчи для глаз с золотом,Патчи,Petitfee,33,45649,35,28,0.0,0.0
