Категория,Артикул WB,Артикул продавца,Предмет,Бренд,Хранение_период,Строк,ШК_сумма,Средний_объем_л,Складов,Хранение_месяц30
Красота,307073881,ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N,Скрабы,Etude house,56.128,27,419,0.76,7,29.031724137931032
Бытовая техника,100680844,sBotW100_100680844,Роботы-стеклоочистители,SKL TECH,51.3384102,12,34,9.91089,6,26.554350103448275
Декор интерьера,103431353,dm7dm9,Фигурки и статуэтки,Дед Мороз Фигурка,32.07168,58,58,5.76,1,16.5888
Декор интерьера,555204573,dm7dm3-45,Фигурки и статуэтки,Дед Мороз Фигурка,26.393724,16,16,10.8171,2,13.651926206896551
Красота,207481714,COSRX AHA/BHA Clarifying Treatment Toner [150ml],Тоники,COSRX,19.498,19,151,0.45,6,10.085172413793105
Красота,611717011,ENOUGH Collagen whitening cover tip concealer #01,Корректоры,ENOUGH,16.456,45,127,0.468,4,8.511724137931035
Красота,199367159,Dr.Jart_Dermaclear_Micro_Foam,Скрабы,dr.Jart+,11.912,31,85,0.48,6,6.161379310344828
Красота,207466866,HEIMISH - Artless Glow Base SPF50+ [40ml],Основы под макияж,Heimish,11.296000000000001,16,76,0.14,5,5.842758620689656
Красота,214301052,DEOPROCE - AC CICA CALMING BOOSTING TONER [150ml],Тоники,DEOPROCE,9.394,33,94,0.576,2,4.858965517241379
Декор интерьера,48908708,dm7dm6,Фигурки и статуэтки,Дед Мороз Фигурка,5.441196288,7,7,5.152648,2,2.8144118731034484
Красота,190160197,EKEL Ampoule Toner Collagen 150ml,Тоники,EKEL,5.28,5,39,0.598842,3,2.731034482758621
Красота,165008074,LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml],Кремы,Lebelage,4.96,6,31,0.156,2,2.5655172413793106
Декор интерьера,104590122,dm7dm11,Фигурки и статуэтки,Дед Мороз Фигурка,4.33152,3,5,5.760000000000001,3,2.240441379310345
Декор интерьера,190314349,СГ-Красная,Фигурки и статуэтки,Дед Мороз Фигурка,2.27285784,5,5,3.4437240000000005,2,1.175616124137931
