JMELLA;;;;;;;;
NO;IMAGE;NAME (KOR);NAME (ENG);BARCODE; VOL ;1 BOX; RETAIL PRICE ; SUPPLY PRICE 
72;;제이멜라 인 프랑스 퓨어 포레스트 듀 헤어 샴푸 500ml;JMELLA IN FRANCE PURE FOREST DEW HAIR SHAMPOO;8809852542803 ;500ml;20; ₩7 900 ; ₩2 750 
73;;제이멜라 인 프랑스 퓨어 포레스트 듀 헤어 트리트먼트 500ml;JMELLA IN FRANCE PURE FOREST DEW HAIR TREATMENT;8809852542810 ;500ml;20; ₩8 900 ; ₩2 970 
74;;제이멜라 인 프랑스 퓨어 포레스트 듀 바디 워시 500ml;JMELLA IN FRANCE PURE FOREST DEW BODY WASH;8809852543060 ;500ml;20; ₩7 900 ; ₩2 750 
75;;제이멜라 인 프랑스 퓨어 포레스트 듀 바디 로션 500ml;JMELLA IN FRANCE PURE FOREST DEW BODY LOTION;8809852543114 ;500ml;20; ₩8 900 ; ₩2 970 
76;;제이멜라 인 프랑스 퓨어 포레스트 듀 헤어 샴푸 1,000ml;JMELLA IN FRANCE PURE FOREST DEW HAIR SHAMPOO;8809852543992 ;1000ml;12; ₩11 800 ; ₩4 510 
77;;제이멜라 인 프랑스 퓨어 포레스트 듀 바디 워시 1,000ml;JMELLA IN FRANCE PURE FOREST DEW BODY WASH;8809852544043 ;1000ml;12; ₩11 800 ; ₩4 510 
78;;제이멜라 인 프랑스 엘레강스 라 튤립 헤어 샴푸 500ml;JMELLA IN FRANCE ELEGANCE HAIR SHAMPOO LA TULIPE;8809562562818 ;500ml;20; ₩10 900 ; ₩2 750 
79;;제이멜라 인 프랑스 엘레강스 라 튤립 헤어 트리트먼트 500ml;JMELLA IN FRANCE ELEGANCE HAIR TREATMENT LA TULIPE;8809562562740 ;500ml;20; ₩11 800 ; ₩2 970 
80;;제이멜라 인 프랑스 엘레강스 라 튤립 바디 워시 500ml;JMELLA IN FRANCE ELEGANCE BODY WASH LA TULIPE;8809562562665 ;500ml;20; ₩10 900 ; ₩2 750 
81;;제이멜라 인 프랑스 엘레강스 라 튤립 바디 로션 500ml;JMELLA IN FRANCE ELEGANCE BODY LOTION LA TULIPE;8809562562610 ;500ml;20; ₩11 800 ; ₩2 970 
