Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		ГПВ-3-16	2	2	2		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		ГПВ 3-10	2	2	2		0	не указано	комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		ДПС-331Р 100А для военной техники	2	2	2		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	1ЭЦНУ 16/40	Кольцо для Насос 1ЭЦНУ 16/40 258.5-33-1175	2	2	2		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 100/30	Кольцо уплотнительное верхнее Насос НЦВ 100/30	2	2	2		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 100/30	Кольцо уплотнительное нижнее Насос НЦВ 100/30	2	2	2		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 40/20	Шайба стопорная для Насос НЦВ 40/20	2	2	2		0	не указано	комплект			0
Склад электрики	Не разнесено				Ствол пожарный Ду65 Ру10 черт.812-03.011-02		2	2			не указано	комплект			0
Склад электрики	Не разнесено				Ствол пожарный Ду50 Ру10 черт.812-03.011-01		2	2			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Вкладыш мотылевый номинал		2	2			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Коллектор (паук) 602-205-014		2	2			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Штанга		2	2			не указано	комплект			0
Склад электрики	Корпусная часть	Крышки и люки	ЗИП	VD26/20	Крышки цилиндра VD26/20 (в сборе)		2	2			не указано	комплект			0
Склад электрики	Корпусная часть	Крышки и люки	ЗИП	VD26/20	Крышки цилиндра VD26/20 (голые)		2	2			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	VD26/20	Кольцо маслосъемное с пружиной VD26/20		2	2			не указано	комплект			0
Склад электрики	Трубопроводная обвязка	Фланцы, стаканы, гайки	ЗИП	VD26/20	Фланец привода VD26/20		2	2			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	VD26/20	Направляющая VD26/20		2	2			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	VD26/20	Шестерня демпферная		2	2			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	3D6	Головка блока цилиндра 3D6		2	2			не указано	комплект			0
Склад электрики	Насосное и механическое	Насосы	ЗИП	4Ч 8,5/11	Насос пресной воды 4Ч 8,5/11 (в сборе)		2	2			не указано	комплект			0
Склад электрики	Насосное и механическое	Насосы	ЗИП	4Ч10,5/13	Насос ТНВД Н40865		2	2			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	ZD 72/48	Вкладыш мотылевый (пара)		2	2			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Насосы		Насосы, сепаратор	Насос НЦВ40/65, кап ремонт		2	2			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Насосы		Насосы, сепаратор	Насос ЭВН 5/5		2	2			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Сепараторы и барабаны		Насосы, сепаратор	Сепаратор СЦ 1,5 (не комплект)		2	2			не указано	не комплект			0
ЗИП и насосы	Насосное и механическое	Компрессоры и приводы		Насосы, сепаратор	Лебедка ЛЭ74		2	2			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Компрессоры и приводы		Насосы, сепаратор	Подруливающее устройство ПУ-130		2	2			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Насосы		Насосы, сепаратор	Насос		2	2			не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапана фланцевые проходные титановые		Клапан фланцевый проходной титановые Ду100Ру10	521-182.116	1	1		0	новый	комплект			0
Склад 2	Арматура	Клапаны	Клапан самозакрывающий проходной муфтовый		(Кнопка)Клапан самозакрывающий проходной муфтовый Ду15Ру3	528-35.176	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан дроссельный угловой штуцерный		Клапан дроссельный угловой штуцерный	525-35.577	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду10 Ру100	521-01.493-02	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду НЕРЖ	521-03.472-01	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан с электромагнитным ручным управлением		Клапан с электромагнитным ручным управлением Ду20/10 перем. 220В	587-35.8490-04	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан с электромагнитным ручным управлением		Клапан	587-182.126	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан паровой		Клапан паровой Ду65Ру10	581-03.034	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фланц. концевой пожарный угловой Ду50 Ру25		Клапан фланц. концевой пожарный угловой Ду50 Ру25	595-3М-48	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фланц. концевой пожарный угловой Ду50 Ру25		Клапан фланц. концевой пожарный угловой Ду50 Ру25	595-35-021	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фланц. концевой пожарный угловой Ду50 Ру25		Клапан фланц. концевой пожарный угловой Ду32 Ру10	595-03-006	1	1		0	не указано	комплект			0
